Title,Organization,Content Type,URL,Publication,Person,Date Published,Topics,Content Tags,Industry,Category Classification,Asset,Source File
Kantar's Comprehensive Approach to Attention,Realeyes,Interview,https://blog.realeyesit.com/kantars-comprehensive-approach-to-attention,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2023-12-04,Digital Marketing - Marketing - Business and Economics,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-kantars-comprehensive-approach-to-attention-2026-01-16-18_18_59,Kantar's Comprehensive Approach to Attention - Realeyes - Interview(my-content).md
Key Insights From the I-COM Attention Forum Series,Realeyes,Blog,https://blog.realeyesit.com/key-insights-from-the-i-com-attention-forum-series,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2023-08-17,,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-key-insights-from-the-i-com-attention-forum-series-2026-01-15-17_50_32,Key Insights From the I-COM Attention Forum Series - Realeyes - Blog(my-content).md
Keys to introducing AI in retail environments,IBM,Blog,https://www.ibm.com/think/insights/keys-to-implement-ai-in-retail-environments,IBM.com,Keith O'Brien - Total Emphasis  ,2025-02-12,,Retail,All Tech,Total Emphasis,screencapture-ibm-think-insights-keys-to-implement-ai-in-retail-environments-2025-03-20-16_20_28,Keys to introducing AI in retail environments - IBM - Blog(my-content).md
Kind Snacks Kick Up Their Sales,Circana,Case Study,https://www.circana.com/case-studies/kind-snacks-kick-up-sales-with-trailblazing-optimization,NCSolutions.com,,2023-07-09,,Retail,,Total Emphasis,screencapture-circana-case-studies-kind-snacks-kick-up-sales-with-trailblazing-optimization-2026-01-14-17_57_38,Kind Snacks Kick Up Their Sales - Circana - Case Study(my-content).md
Kiwibank Case Study,McKinsey,LinkedIn post,https://www.linkedin.com/posts/vinayak-hv-7061222_rewiredinaction-banking-bankingsector-activity-7102590803096600576-0Pci?utm_source=share&utm_medium=member_desktop,LinkedIn,Vinayak HV - McKinsey,,"Corporate Finance - Finance, Accounting and Legal - Business and Economics",Banking,Management Consultant,Total Emphasis,VH_ Kiwibank Case Study,Kiwibank Case Study - McKinsey - LinkedIn post (my-content).md
Leading Spanish Bank Launches Robust Microservices Architecture With Kubernetes,UST,Case Study,https://www.ust.com/en/insights/leading-spanish-bank-launches-robust-microservices-architecture-with-kubernetes,UST.com,Anonymous,2022-12-06,,Banking Innovations; Security and Infrastructure,Cybersecurity Firm,Total Emphasis,screencapture-blog-realeyesit-not-all-attention-is-equal-2026-01-14-19_26_31,Leading Spanish Bank Launches Robust Microservices Architecture With Kubernetes - UST - Case Study(my-content).md
"Lessons for a 25-year-old, from someone who’s been there[](https://www.linkedin.com/in/petercherecwich/)",Northern Trust,Blog,https://medium.com/face-value/lessons-for-a-25-year-old-from-someone-whos-been-there-4c1e53f3481f,Medium,Peter Cherecwich - Northern Trust,2025-12-18,Leadership & Decision Making - Business Strategy and Management - Business and Economics,Leadership; Mentorship; Leadership & Decision Making - Business Strategy and Management - Business and Economics,,Total Emphasis,screencapture-medium-face-value-lessons-for-a-25-year-old-from-someone-whos-been-there-4c1e53f3481f-2026-01-05-12_52_03,"Lessons for a 25-year-old, from someone who’s been there - Northern Trust - Blog(my-content).md"
Lessons from Bud Light’s Super Bowl Teaser,Realeyes,Blog,https://blog.realeyesit.com/lessons-from-bud-lights-super-bowl-teaser,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2024-01-24,Digital Marketing - Marketing - Business and Economics,Data and Analytics; Super Bowl; Attention Measurement,Marketing,Total Emphasis,Bud Light - Super Bowl 2024 - Realeyes - Blog,Lessons from Bud Light’s Super Bowl Teaser - Realeyes - Blog(my-content).md
Let the Attention Data Tell the Story,Realeyes,Interview,https://blog.realeyesit.com/let-the-attention-data-tell-the-story,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2023-08-03,,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-let-the-attention-data-tell-the-story-2026-01-15-18_04_51,Let the Attention Data Tell the Story - Realeyes - Interview(my-content).md
Lila: Experience AI Expansion,Google DeepMind,LinkedIn post,https://www.linkedin.com/posts/suzan-sam-miller-b936b03_experience-ai-article-activity-7125511942022017024-ZBj7/?utm_source=share&utm_medium=member_desktop,LinkedIn,,2023-11-16,Artificial Intelligence Applications - Artificial Intelligence - Science & Technology,,All Tech,Total Emphasis,Lila Ibraham,Lila- Experience AI Expansion - Google DeepMind - LinkedIn post (my-content).md
Linkedin Head of Media: You Must Have an Attention Strategy,Realeyes,Interview,https://blog.realeyesit.com/linkedin-head-of-media-you-must-have-an-attention-strategy,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2022-08-03,,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-linkedin-head-of-media-you-must-have-an-attention-strategy-2026-01-14-15_49_29,Linkedin Head of Media- You Must Have an Attention Strategy - Realeyes - Interview(my-content).md
Live Sports Remain An Advertiser’s Home Run,33 Across,Blog,https://www.33across.com/blog/2025/12/09/live-sports-remain-an-advertisers-home-run,33Across.com,,2025-12-09,,Live Sports; Sports Marketing,,Total Emphasis,screencapture-33across-blog-2025-12-09-live-sports-remain-an-advertisers-home-run-2025-12-22-22_43_00#,Live Sports Remain An Advertiser’s Home Run - 33 Across - Blog(my-content).md
Marketers Cannot Lose Authenticity in Their Quest to Embrace AI,Factoreal,Byline,https://martechseries.com/mts-insights/guest-authors/marketers-cannot-lose-authenticity-in-their-quest-to-embrace-ai/,Martech Series,Cody Haynes - Factoreal,2023-04-28,,Responsible AI; Authenticity; Generative AI,Marketing,Total Emphasis,screencapture-martechseries-mts-insights-guest-authors-marketers-cannot-lose-authenticity-in-their-quest-to-embrace-ai-2026-01-16-18_29_39,Marketers Cannot Lose Authenticity in Their Quest to Embrace AI - Factoreal - Byline(my-content).md
"Marketing as a Service, or How to Improve B2B Marketing Impact",2x,Byline,https://www.marketingprofs.com/articles/2024/50705/marketing-as-a-service-maas-b2b-marketing-outsourcing,MarketingProfs,Domenic Colasante - 2x,2022-07-15,Digital Marketing - Marketing - Business and Economics,B2B Marketing; Outsourcing,Marketing,Total Emphasis,screencapture-marketingprofs-articles-2024-50705-marketing-as-a-service-maas-b2b-marketing-outsourcing-2025-05-17-20_45_06,"Marketing as a Service, or How to Improve B2B Marketing Impact - 2x - Byline(my-content).md"
"Mars and Realeyes Show 18% Sales Lift, Win I-com Best Ai Award",Realeyes,Blog,https://blog.realeyesit.com/i-com-data-creativity-award,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2022-06-14,,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-i-com-data-creativity-award-2026-01-14-17_23_12,"Mars and Realeyes Show 18- Sales Lift, Win I-com Best Ai Award - Realeyes - Blog(my-content).md"
"Mars, GSK Approach to Attention Highlights at Icom Roundtable",Realeyes,Blog,https://blog.realeyesit.com/mars-gsk-approach-to-attention-highlights-icom-roundtable,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2022-07-22,,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-mars-gsk-approach-to-attention-highlights-icom-roundtable-2026-01-13-14_04_53,"Mars, GSK Approach to Attention Highlights at Icom Roundtable - Realeyes - Blog(my-content).md"
Mass Notification 101 for Business Leaders,OnSolve,Sales Deck,https://www.onsolve.com/resource/mass-notification-101-for-business-owners/,OnSolve.com,,2024-09-01,Cybersecurity - Information Technology - Science & Technology,Risk Management,Management Consultant,Total Emphasis,Mass Notification Systems 101 for Business Owners.pptx,Mass Notification 101 for Business Leaders - OnSolve - Sales Deck(my-content).md
Maximising ROI With Playable Ads: Key Strategies for Success,Mobvista/Mintegral,Byline,https://www.pocketgamer.biz/comment-and-opinion/81753/maximising-roi-with-playable-ads-key-strategies-for-success/,Pocket Gamer,,2023-06-20,Mobile Marketing - Marketing - Business and Economics,Business Analytics; Mobile gaming,,Total Emphasis,screencapture-pocketgamer-biz-maximising-roi-with-playable-ads-key-strategies-for-success-2026-01-14-17_23_41,Maximising ROI With Playable Ads- Key Strategies for Success - Mobvista-Mintegral - Byline(my-content).md
McKinsey AI Approach,McKinsey,LinkedIn post,https://www.linkedin.com/posts/vinayak-hv-7061222_aibymckinsey-artificialintelligence-generativeai-activity-7104402718303125504-lcg3/?utm_source=share&utm_medium=member_desktop,LinkedIn,Vinayak HV - McKinsey,,Artificial Intelligence Applications - Artificial Intelligence - Science & Technology,AI in Consulting; Artificial Intelligence Applications - Artificial Intelligence - Science & Technology,Management Consultant,Total Emphasis,VH_ McKinsey AI approach,McKinsey AI Approach - McKinsey - LinkedIn post (my-content).md
McKinsey Tech Trends 2023,McKinsey,LinkedIn post,https://www.linkedin.com/posts/joachimbleys_bioengineering-drugdiscovery-techtrends-activity-7090380420873105409-zAf3?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Joachim Blys - McKinsey,,Digital Transformation - Information Technology - Science & Technology,Consumer Technology,Management Consultant,Total Emphasis,McKinsey Tech Trends 2023,McKinsey Tech Trends 2023 - McKinsey - LinkedIn post (my-content).md
"Media Mix Modelling: the Future-proof, Silo-busting Future of Measurement",M&C Saatchi Performance,Byline,https://www.performancemarketingworld.com/article/1815617/media-mix-modelling-future-proof-silo-busting-future-measurement,Performance Marketing World,Dane Buchanan - M&C Saatchi Performance,2023-07-03,,Media Mix Modelling,Marketing,Total Emphasis,screencapture-archive-ph-vhw66-2026-01-15-17_16_40,"Media Mix Modelling- the Future-proof, Silo-busting Future of Measurement - M&C Saatchi…(my-content)(2).md"
"Media Mix Modelling: the Future-proof, Silo-busting Future of Measurement",M&C Saatchi Performance,Byline,,Performance Marketing World,Dane Buchanan - M&C Saatchi Performance,2023-03-07,,Media Mix Modelling,,Total Emphasis,screencapture-archive-ph-vhw66-2026-01-14-16_28_42,"Media Mix Modelling- the Future-proof, Silo-busting Future of Measurement - M&C Saatchi…(my-content).md"
Medical Emergencies in Air,McKinsey,LinkedIn post,https://www.linkedin.com/posts/joachimbleys_review-of-in-flight-medical-emergencies-activity-7062398453825314816-fKCq?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Joachim Blys - McKinsey,,Health Intervention - Physical Health - Health,,Management Consultant,Total Emphasis,In-flight medical emergencies,Medical Emergencies in Air - McKinsey - LinkedIn post (my-content).md
Meet Bloomberg’s C++ Guild,Bloomberg,Blog,https://www.bloomberg.com/company/stories/meet-the-c-guild/,Bloomberg.com,,2025-04-30,,,IT Support and Management,Total Emphasis,screencapture-bloomberg-company-stories-meet-the-c-guild-2025-05-06-08_29_29,Meet Bloomberg’s C++ Guild - Bloomberg - Blog(my-content).md
Misleading Narratives,Oregon Association of Hospitals & Health Systems (OAHHS),LinkedIn post,https://www.linkedin.com/posts/becky-hultberg-ak_read-the-blog-in-defense-of-not-for-profit-activity-6984543309662736385-XPUa?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Becky Hultberg - Oregon Association of Hospitals & Health Systems (OAHHS),,Health Policy - Physical Health - Health,Healthcare,Healthcare,Total Emphasis,Becky Hultberg - Misleading Narratives,Misleading Narratives - Oregon Association of Hospitals & Health Systems (OAHHS) - LinkedIn post (my-content).md
Moses - Alaska Trip,Sodexo,LinkedIn post,https://www.linkedin.com/posts/mosesdebord_foodservice-partnership-community-activity-7376956301618130944-xDmS?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Moses Debord - Kleen-Tech Services,2025-09-25,Leadership & Decision Making - Business Strategy and Management - Business and Economics,DEI and ESG,Food Service,Total Emphasis,![](https://firebasestorage.googleapis.com/v0/b/tagr-prod.appspot.com/o/notespace%2Fkeith%40totalemphasis.com%2Fuploads%2F2026-01-14T23%3A18%3A57.737Z-Screenshot%202026-01-14%20at%206.18.52%E2%80%AFPM.png?alt=media&token=1626bf1a-9b20-4eb9-aa04-c92371136f93),Moses - Alaska Trip - Sodexo - LinkedIn post (my-content).md
Moses DeBord - Armed Forces,Sodexo,LinkedIn post,https://www.linkedin.com/feed/update/urn:li:activity:7387095163271114754/,LinkedIn,Moses Debord - Kleen-Tech Services,2025-10-24,,Volunteering; Emotional Well-being - Mental Health and Wellness - Health; Corporate Strategy; Corporate Social Responsibility; **Topic(s)**:; Emotional Well-being - Mental Health and Wellness - Health,Nonprofit Organization,Total Emphasis,![](https://firebasestorage.googleapis.com/v0/b/tagr-prod.appspot.com/o/notespace%2Fkeith%40totalemphasis.com%2Fuploads%2F2026-01-16T23%3A21%3A18.023Z-Screenshot%202026-01-16%20at%206.21.12%E2%80%AFPM.png?alt=media&token=19ea435d-782c-4ec9-a5f2-643f12d5e344),Moses DeBord - Armed Forces - Sodexo - LinkedIn post (my-content).md
Moses DeBord - Authenticity,Sodexo,LinkedIn post,https://www.linkedin.com/posts/mosesdebord_highereducation-studentexperience-authenticity-activity-7391455436903911424-72H9?utm_source=share&utm_medium=member_desktop&rcm=ACoAADGXlpsBHddOEa8tpGkZ4gQjRHdo3t-k_3k,LinkedIn,Moses Debord - Kleen-Tech Services,2025-11-04,Leadership & Decision Making - Business Strategy and Management - Business and Economics,,,Total Emphasis,![](https://firebasestorage.googleapis.com/v0/b/tagr-prod.appspot.com/o/notespace%2Fkeith%40totalemphasis.com%2Fuploads%2F2025-11-04T13%3A30%3A17.020Z-Screenshot%202025-11-04%20at%208.30.11%E2%80%AFAM.png?alt=media&token=4ab79c85-a677-4ac8-98b5-797e3bb19f02),Moses DeBord - Authenticity - Sodexo - LinkedIn post (my-content).md
Moses DeBord Ryder Cup,Sodexo,LinkedIn post,https://www.linkedin.com/posts/mosesdebord_servantleadership-sodexoproud-golflessons-activity-7375880047565529088-ezHJ?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Moses Debord - Kleen-Tech Services,2025-09-22,,Servant Leadership; **Topic(s)**:; Playing Sports - Lifestyle and Wellbeing - Personal Growth and Lifestyle; Leadership & Decision Making - Business Strategy and Management - Business and Economics; Leading By Example,Sports Team or Association,Total Emphasis,Moses Ryder Cup,Moses DeBord Ryder Cup - Sodexo - LinkedIn post (my-content).md
Moving Beyond Viewability to Focus on Consumer Engagement,Realeyes,Interview,https://blog.realeyesit.com/moving-beyond-viewability-to-focus-on-consumer-engagement,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2023-07-24,Digital Marketing - Marketing - Business and Economics,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-moving-beyond-viewability-to-focus-on-consumer-engagement-2026-01-16-18_24_55,Moving Beyond Viewability to Focus on Consumer Engagement - Realeyes - Interview(my-content).md
Moving Towards an Attention Revolution in Advertising,Realeyes,Interview,https://blog.realeyesit.com/moving-towards-an-attention-revolution-in-advertising,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2023-07-19,,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-moving-towards-an-attention-revolution-in-advertising-2026-01-14-19_57_52 (1),Moving Towards an Attention Revolution in Advertising - Realeyes - Interview(my-content).md
NACFUS Award,Sodexo,LinkedIn post,https://www.linkedin.com/posts/michael-svagdis-13909099_sodexoproud-highereddining-impactdriven-activity-7348109305151184896-CIvx?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Michael Svagdis - ,2025-07-11,Customer Experience - Sales - Business and Economics,Food and Beverage and QSR,,Total Emphasis,![](https://firebasestorage.googleapis.com/v0/b/tagr-prod.appspot.com/o/notespace%2Fkeith%40totalemphasis.com%2Fuploads%2F2026-01-16T23%3A35%3A45.440Z-Screenshot%202026-01-16%20at%206.35.39%E2%80%AFPM.png?alt=media&token=e23f6218-4df3-4c53-bb2f-841f5c744f2f),NACFUS Award - Sodexo - LinkedIn post (my-content).md
NMSU Moses post,Sodexo,LinkedIn post,https://www.linkedin.com/posts/mosesdebord_sodexoproud-nmsu-sodexocampus-activity-7374411921820860416-eBf9?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Moses Debord - Kleen-Tech Services,2025-09-17,Human Resources Management (HRM) - Business Strategy and Management - Business and Economics,Employee Experience; Employee Retention,Educational Nonprofit,Total Emphasis,Moses NMSU,NMSU Moses post - Sodexo - LinkedIn post (my-content).md
Navigating the Attention Trail,Realeyes,Interview,https://blog.realeyesit.com/navigating-the-attention-trail,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2024-05-09,,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-navigating-the-attention-trail-2026-01-13-16_42_35,Navigating the Attention Trail - Realeyes - Interview(my-content).md
Net-zero New Business Building,McKinsey,LinkedIn post,https://www.linkedin.com/posts/ari-libarikian-b8720b_the-net-zero-transition-that-gained-steam-activity-6897567073812185088-7K9g?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Ari Libarikian - McKinsey,,,Net-zero,Management Consultant,Total Emphasis,Net Zero New Business Building,Net-zero New Business Building - McKinsey - LinkedIn post (my-content).md
Netflix book,McKinsey,LinkedIn post,https://www.linkedin.com/posts/ari-libarikian-b8720b_startups-can-often-succeed-where-legacy-businesses-activity-6859486305668132864-yFEi?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Ari Libarikian - McKinsey,,,Netflix,Management Consultant,Total Emphasis,![](https://firebasestorage.googleapis.com/v0/b/tagr-prod.appspot.com/o/notespace%2Fkeith%40totalemphasis.com%2Fuploads%2F2025-03-20T19%3A53%3A10.737Z-Screenshot%202025-03-20%20at%203.53.05%E2%80%AFPM.png?alt=media&token=3d0a43d6-5587-4a46-a645-0ba8261e55de),Netflix book - McKinsey - LinkedIn post (my-content).md
Next in Media Podcast: Mars & Realeyes on Attention’s Business Impact,Realeyes,Blog,https://blog.realeyesit.com/next-in-media-podcast-mars-realeyes-on-attentions-business-impact,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2023-05-05,Product Engineering - Information Technology - Science & Technology,Fintech; Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-next-in-media-podcast-mars-realeyes-on-attentions-business-impact-2026-01-14-16_22_38,Next in Media Podcast- Mars & Realeyes on Attention’s Business Impact - Realeyes - Blog(my-content).md
Nielsen Adds Realeyes’ Attention & Creative Evaluation to Bolster Ad Outcomes,Realeyes,Blog,https://blog.realeyesit.com/nielsen-adds-realeyes-attention-creative-evaluation-to-bolster-ad-outcomes,Realeyesit.com,Mihkel Jaatma - Realeyes,2024-12-18,Digital Marketing - Marketing - Business and Economics,Attention Measurement,Adtech,Total Emphasis,Nielsen blog for Realeyes 12-2024,Nielsen Adds Realeyes’ Attention & Creative Evaluation to Bolster Ad Outcomes - Realeyes - Blog(my-content).md
Nithin Mummaneni -  VMBlog,Infinity Loop,LinkedIn post,,LinkedIn,Nithin Mummaneni - Infinity Loop,2026-01-14,,,,Total Emphasis,,Nithin Mummaneni -  VMBlog - Infinity Loop - LinkedIn post (my-content).md
Nithin Mummaneni - 100-200 hours,Infinity Loop,LinkedIn post,https://www.linkedin.com/feed/update/urn:li:activity:7378474999978033152/,LinkedIn,Nithin Mummaneni - Infinity Loop,2025-09-29,"Corporate Finance - Finance, Accounting and Legal - Business and Economics",AI in Consulting; Contract Negotiation; Contract Renewals,,Total Emphasis,Nithin 100-200 hours,Nithin Mummaneni - 100-200 hours - Infinity Loop - LinkedIn post (my-content).md
Nithin Mummaneni - Authority Magazine,Infinity Loop,LinkedIn post,https://www.linkedin.com/posts/activity-7416547564726153216-duRz?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Nithin Mummaneni - Infinity Loop,2026-01-15,"Corporate Finance - Finance, Accounting and Legal - Business and Economics",Contract Negotiation; Procurement,,Total Emphasis,![](https://firebasestorage.googleapis.com/v0/b/tagr-prod.appspot.com/o/notespace%2Fkeith%40totalemphasis.com%2Fuploads%2F2026-01-19T15%3A08%3A14.970Z-Screenshot%202026-01-19%20at%2010.08.09%E2%80%AFAM.png?alt=media&token=7dbbe446-f3bd-4add-a0ce-70ab92112b4b),Nithin Mummaneni - Authority Magazine - Infinity Loop - LinkedIn post (my-content).md
Nithin Mummaneni - Consultant Contracts,Infinity Loop,LinkedIn post,https://www.linkedin.com/feed/update/urn:li:activity:7373398378451214336/,LinkedIn,Nithin Mummaneni - Infinity Loop,2025-09-15,"Corporate Finance - Finance, Accounting and Legal - Business and Economics","Contract Negotiation; Cost Savings; Corporate Finance - Finance, Accounting and Legal - Business and Economics",Procurement,Total Emphasis,![](https://firebasestorage.googleapis.com/v0/b/tagr-prod.appspot.com/o/notespace%2Fkeith%40totalemphasis.com%2Fuploads%2F2025-09-16T18%3A43%3A50.293Z-Screenshot%202025-09-16%20at%202.43.44%E2%80%AFPM.png?alt=media&token=8017790b-48ad-440f-bb78-ce8fc218ef5d),Nithin Mummaneni - Consultant Contracts - Infinity Loop - LinkedIn post (my-content).md
Nithin Mummaneni - Quoted In Pulse 2.0,Infinity Loop,LinkedIn post,https://www.linkedin.com/feed/update/urn:li:activity:7375921905557712896/,LinkedIn,Nithin Mummaneni - Infinity Loop,2025-09-29,"Corporate Finance - Finance, Accounting and Legal - Business and Economics",Contract Negotiation; Contract Renewals; Consult,,Total Emphasis,Nithing - Pulse 2.0,Nithin Mummaneni - Quoted In Pulse 2.0 - Infinity Loop - LinkedIn post (my-content).md
Nithin Mummaneni - SCB Byline,Infinity Loop,LinkedIn post,https://www.linkedin.com/posts/activity-7409286455736418304--pk9?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Nithin Mummaneni - Infinity Loop,2026-01-06,"Corporate Finance - Finance, Accounting and Legal - Business and Economics",,,Total Emphasis,![](https://firebasestorage.googleapis.com/v0/b/tagr-prod.appspot.com/o/notespace%2Fkeith%40totalemphasis.com%2Fuploads%2F2026-01-19T15%3A17%3A59.092Z-Screenshot%202026-01-19%20at%2010.17.53%E2%80%AFAM.png?alt=media&token=f31ad0ba-0411-4dd9-b8fa-05561a4f93bc),Nithin Mummaneni - SCB Byline - Infinity Loop - LinkedIn post (my-content).md
Not All Attention is Equal,Realeyes,Interview,https://blog.realeyesit.com/not-all-attention-is-equal,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2022-09-28,Digital Marketing - Marketing - Business and Economics,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-not-all-attention-is-equal-2026-01-14-19_26_31,Not All Attention is Equal - Realeyes - Interview(my-content).md
On the Enduring Power of the Blank Canvas,Total Emphasis  ,Newsletter,https://survivalsignal.beehiiv.com/p/enduring-power-blank-canvas,Survival Signal,Keith O'Brien - Total Emphasis  ,2023-03-18,,Essay Writing; **Topic(s)**:; Fiction Writing - Writing - Art and Humanities; Content Marketing - Marketing - Business and Economics; Creativity - Motivation and Goals - Personal Growth and Lifestyle,Content Strategy,Keith O'Brien,screencapture-survivalsignal-beehiiv-p-enduring-power-blank-canvas-2026-01-14-16_21_33,On the Enduring Power of the Blank Canvas - Total Emphasis   - Newsletter(my-content).md
Optimizing for Attention Drives Brand Lift,Realeyes,Case Study,https://blog.realeyesit.com/teads-study-optimizing-attention-drives-brand-lift,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2021-11-23,AdTech - Marketing - Business and Economics,Generative AI; Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-teads-study-optimizing-attention-drives-brand-lift-2026-01-16-18_52_55,Optimizing for Attention Drives Brand Lift - Realeyes - Case Study(my-content).md
Orchestrating A2A and MCP with Rasa,Rasa,Blog,https://rasa.com/blog/orchestrating-a2a-and-mcp-with-rasa/,,Alan Nichol - Rasa,2025-09-04,,AI Orchestration; AI Agents,Artificial Intelligence,Total Emphasis,screencapture-rasa-blog-orchestrating-a2a-and-mcp-with-rasa-2025-09-05-10_46_41,Orchestrating A2A and MCP with Rasa - Rasa - Blog(my-content).md
Oregon Legislature,Oregon Association of Hospitals & Health Systems (OAHHS),LinkedIn post,https://www.linkedin.com/posts/becky-hultberg-ak_today-the-oregonlegislatures-emergency-activity-6979202969804148736-HFkC?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Becky Hultberg - Oregon Association of Hospitals & Health Systems (OAHHS),,Health Policy - Physical Health - Health,Healthcare,Healthcare,Total Emphasis,Becky Hultberg - Oregon Legislature,Oregon Legislature - Oregon Association of Hospitals & Health Systems (OAHHS) - LinkedIn post (my-content).md
Panel Integrity: Kantar Hits Near 100% Anti-Fraud using Realeyes Verify,Realeyes,Case Study,https://www.realeyesit.com/case_studies/panel-integrity-kantar-hits-near-100-anti-fraud-using-realeyes-verify/,Realeyesit.com,,2024-01-17,,Attention Measurement,Adtech,Total Emphasis,screencapture-realeyesit-case-studies-kantar-verifeye-2026-01-15-17_55_24,Panel Integrity- Kantar Hits Near 100- Anti-Fraud using Realeyes Verify - Realeyes - Case Study(my-content).md
Panels Are Failing to Combat Fraud Effectively,Realeyes,Blog,https://blog.realeyesit.com/panels-are-failing-to-combat-fraud-effectively,Realeyesit.com,Keith O'Brien - Total Emphasis  ,2024-03-22,,Attention Measurement,Adtech,Total Emphasis,screencapture-blog-realeyesit-panels-are-failing-to-combat-fraud-effectively-2026-01-14-15_54_06,Panels Are Failing to Combat Fraud Effectively - Realeyes - Blog(my-content).md
Physicians + Clerical Tasks,McKinsey,LinkedIn post,https://www.linkedin.com/posts/joachimbleys_generative-ai-makes-headway-in-healthcare-activity-7067110743921283072-D_-Y?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAA3TABufjct_dj5o96jQ_ELwtUVCtVVhM,LinkedIn,Joachim Blys - McKinsey,,,Generative AI,Management Consultant,Total Emphasis,Physicians and Clerical Tasks,Physicians + Clerical Tasks - McKinsey - LinkedIn post (my-content).md
Plan Your Exit: Entrepreneurs Need to Start Getting Ready Early,UBS,Byline,https://oysterpointer.net/plan-your-exit-entrepreneurs-need-to-start-getting-ready-early/,Oysterpointer,Eric E. Thompson,2023-09-26,,"Financial Strategy; **Topic(s)**:; Personal Finance - Finance, Accounting and Legal - Business and Economics; Strategic Planning & Analysis - Business Strategy and Management - Business and Economics; Exits/M&A/IPOs - Entrepreneurship - Business and Economics; Corporate Finance - Finance, Accounting and Legal - Business and Economics",,Total Emphasis,screencapture-oysterpointer-net-plan-your-exit-entrepreneurs-need-to-start-getting-ready-early-2025-05-17-20_41_38,Plan Your Exit- Entrepreneurs Need to Start Getting Ready Early - UBS - Byline(my-content).md
Planning Year-end Compensation Through Workday,UST,Blog,https://www.ust.com/en/insights/planning-year-end-compensation-through-workday,UST.com,Richard Cherichello,2022-12-02,Human Resources Management (HRM) - Business Strategy and Management - Business and Economics,Benefits; Employee Experience,All Tech,Total Emphasis,screencapture-ust-en-insights-planning-year-end-compensation-through-workday-2026-01-16-18_40_19,Planning Year-end Compensation Through Workday - UST - Blog(my-content).md
